frm,height,pxW,cmW,gsdE,gsdT,predE(cm),predT(cm),errorE2,errorT2
528,85.53,65.815,174,2.787,2.857,183.426405,188.033455,88.85711122402478,196.9378592370251
531,85.5,62.78,174,2.786,2.856,174.90508,179.29968,0.8191698063999966,28.086608102399946
532,85.5,73.635,174,2.786,2.856,205.14711000000003,210.30156,970.1424613521017,1317.8032584335997
533,85.5,72.62,174,2.786,2.856,202.31932,207.40272000000002,801.9838852624002,1115.7417033984011
536,85.5,64.88,174,2.786,2.856,180.75567999999998,185.29727999999997,45.63921226239978,127.62853539839938
538,85.48,62.38,174,2.785,2.855,173.72830000000002,178.0949,0.0738208899999899,16.768206009999965
540,85.48,62.71,174,2.785,2.855,174.64735000000002,179.03705,0.4190620225000223,25.371872702499935
541,85.48,63.09,174,2.785,2.855,175.70565000000002,180.12195,2.9092419225000676,37.478271802499975
548,85.46,64.21,174,2.785,2.854,178.82485,183.25534,23.279177522499978,85.6613185155998
550,85.43,69.76,174,2.784,2.853,194.21184,199.02528000000004,408.5184761855998,626.2646390784018
552,85.43,66.51,174,2.784,2.853,185.16384,189.75303000000002,124.63132354559986,248.15795418090076
553,85.43,63.959999999999994,174,2.784,2.853,178.06463999999997,182.47788,16.521298329599745,71.87444929439998
555,85.42,61.29,174,2.783,2.853,170.57007,174.86037000000002,11.76441980490009,0.7402365369000299
558,85.42,74.98,174,2.783,2.853,208.66934,213.91794000000002,1201.9631360356004,1593.4419338436012
564,85.4,60.63,174,2.783,2.852,168.73329,172.91676,27.738234224099884,1.1734088975999768
570,85.39,65.395,174,2.782,2.852,181.92889,186.50653999999997,62.86729663209993,156.4135427715993
576,85.38,71.08,174,2.782,2.852,197.74456,202.72016,563.8041295936004,824.8475904255996
578,85.37,68.39,174,2.782,2.851,190.26098,194.97989,264.41947056039965,440.1557844121005
579,85.37,65.45,174,2.782,2.851,182.08190000000002,186.59795,65.3171076100003,158.70834420249994
583,85.37,65.265,174,2.782,2.851,181.56723,186.070515,57.26296987289992,145.697332365225
586,85.35,65.36,174,2.781,2.851,181.76616,186.34136,60.31324114560021,152.30916664960023
587,85.35,64.2,174,2.781,2.851,178.54020000000003,183.0342,20.613416040000246,81.61676963999997
589,85.35,61.53,174,2.781,2.851,171.11493000000002,175.42203,8.323628904899913,2.022169320900019
592,85.32,64.35,174,2.78,2.85,178.89299999999997,183.39749999999998,23.94144899999973,88.31300624999962
594,85.32,61.205,174,2.78,2.85,170.14989999999997,174.43425,14.8232700100002,0.1885730624999927
595,85.32,65.85,174,2.78,2.85,183.06299999999996,187.67249999999999,82.13796899999927,186.9372562499996
600,85.3,60.14,174,2.78,2.849,167.1892,171.33886,46.38699664000001,7.081666099599941
601,85.3,70.15,174,2.78,2.849,195.017,199.85735000000003,441.71428899999984,668.6025490225013
604,85.29,63.44,174,2.779,2.849,176.29976,180.74056000000002,5.288896057599963,45.43514911360022
606,85.29,61.16,174,2.779,2.849,169.96364,174.24484,16.292202049600014,0.059946625600005195
607,85.29,66.14,174,2.779,2.849,183.80306,188.43286,96.09998536359976,208.30744777960015
608,85.29,63.095,174,2.779,2.849,175.341005,179.757655,1.798294410024988,33.150591099025
610,85.28,67.925,174,2.779,2.848,188.76357499999997,193.45039999999997,217.96314678062424,378.318060159999
611,85.28,67.255,174,2.779,2.848,186.90164499999997,191.54223999999996,166.45244370602433,307.7301842175987
